id,Job Title,,skills
85, Business Development Executive - Kolkata,, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision
86, Accountant - UK Based Accounting,, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns
87, Opportunity For Current Account RM ||bank || Delhi,, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account
88, PHP Developer,, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax
89, Senior Engineering Maintenance Manager For Knitting and ZLD System,, zld| Engineering Management| knitting
90, Accounting Specialist,, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing
91, Manager (Service Operation),, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition
92, DevOps Engineer Intern,, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP
93, PHP Developer (wordpress & Woo Commerce/shopify / Magento),, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax
94, Java Developer,, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery
95, Sr. Manager- Business Development,, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal
96, Test Principal Engineer,, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys
97, Graphic Designer,, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive
98, Business Development Executive,, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost
99, Animation Resident,, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior
100,Enterprise Business Development Representative,,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales
101, Dot Net Developer,, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming
102," Urgent Opening for ""US Staffing Professionals"" - Noida",, technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing
103, Front Office Executive-Noida,, Front Office Executive
104, Project Executive/coordinator,, Project Administration| Coordination
105, Sterling OMS Architect,, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce
106, Dot net Developer,, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net
107, Centreless Grinding Operator ,, NCTVT
108, PHP Developer Jobs In Gurgaon - Team Lead - PHP,, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services
109, Sales Lead,, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation
110, Clerk - Garh Shankar (Vacancy-1),,vide
111, Senior Design Engineer - Manufacturing,, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks
112, Software Engineer Automation - Industrial Automation Job In Bangalore,, Automation Engineer
113, Looking For Assistant Manager - Healthcare (US Visa is Must),, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM
114, Senior Accounts Executive,,vide
115, QA for Voice Process (LE-0097-N1C),, Voice process| qaqc| Writing| Process operations| Verbal
116," Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",, Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation
117,,,vide
118, Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python
119, Executive Medical Coder,, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech
120, Account Assistant,, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation
121, Informatica Faculty Job Requirement in Hyderabad,, Informatica Power Center| Informatica
122, SEO Expert/ Digital Marketing Gurgaon,, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing
123, Head Engineering,, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who
124, Business Development Executive,, Forecasting
125, PPC Executive,, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives
126, Opening For the post of Mr/territory Business Manager in An Pharma,, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive
127, Deputy Manager - Program Management,, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle
128, Public Relations Manager - Bangalore,, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication
129, Female Fresher's Counsellor- Gurgaon,, counselling| couselling| fresher| student counsellor| student counseling
130, BE Chemical - Fresher,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
131, Senior .Net Developer For Leading IT Company in Gurgaon,, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net
132, Hiring a Valuation Associate (female Only),, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling
133, Merchandising & Marketing- Professor,, Teaching| Educator| Counselor| Mentor| Trainer| Advisor
134, Medical Transcriber,, X - Ray| Medical Transcription| Ultrasound| CT Scan
135, PHP Developer,, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml
136, Business Development Manager,, Sales| Management| Sales management| Educational sales
137, Looking for a Job Change With a good package,, Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp
138, Huge Requirement for Customer Care Executive with Fixed Salary,, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software
139,Assistant Manager – BI&I (data Automation),,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration
140, Field Sales Executive,, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales
141, Sr. Manager Sales Capability Building,, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI
142, Service Ops Expert - Servc Del | Microland,, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP
143, Regional Trainer - Skin for Wellness & Beauty Industry (only Females),, planning| training| training manager| trainer| faculty
144, Sales Manager,, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail
145, Field Support Team-Supervisor,, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic
146, Sr. C# Developer,, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications
147, Sr Structural Engineer,, Senior Design Engineer| Engineering Design| SACS
148, IT Security Head ,, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems
149, Technical Support Executive,, Technical Support Executive| Electrical engineering
150, Analyst - Business Intelligence,, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction
151,Nokia WING Circuit Core - SMSC Engineer,,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching
152, Assistant Restaurant Manager / Restaurant Manager,, assistant restaurant manager| restaurant| restaurant manager
153, Digital / Web Artist,, layout| visualization| digital media| graphic design| html| illustration| tools| part time
154, Business Development Manager,, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining
155, Web/ GUI Designer,, photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static
156," Web Designer - Html, CSS, Bootstrap, Photoshop",, Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS
157, Python Developer,, Python
158, Web Designer,, server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3
159, AVP- FX MO,, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President
160, Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura,, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances
161, Head - Project Management,, Project Management
162, Walk- In For Development QA/ Regulatory Affairs,, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf
163, Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp),, accounting| finance| financial reporting| statutory compliance| gst| vat
164, Team Leader- Head Digital Prtnrshp & BD,, Data analysis| Consumer research| Management| Head Business Development
165, DWH Tester - Manual Testing,, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing
166, Quality Assurance Engineer,, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL
167, Technical / Functional Skills,, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas
168, Software Development / Software Engineer,, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming
169,,,vide
170, Inbound Phone Banking Voice Process - Leading Bank - Noida,, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking
171,Java Enterprise Edition,,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology
172, Associate Clinical Data Processor,, MS Office| Data entry
173,,,Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Counter|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Sales|Counter|Sales
174, CRM,, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing
175, Magento Developer,, Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3
176, Merchandiser,, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking
177, SIEM Analyst,,vide
178, Hiring ll Azure Devops and Management Lead ll Hyderabad,, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration
179, Senior Faculty - Information Design,,vide
180, computer operator,, Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level
181, Operation Executive,, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment
182, Customer Support Executive,, Customer Support Executive| Customer service| Business Executive| process
183, Corporate-Day Care Manager.,, Staff Training| Day Care| Recruitment
184, Hiring going on for .US Inbound Tech Support/ Sales,, process| Spot| Technical support| Night shift| International BPO
185,Deputy Manager- Performance/digital Marketing,,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo
186," Technical Lead -(VoIP,Cisco Call Manager)",, java| cisco call manager| visa| j2ee| sip| offshore| communication skills
187,,,vide
188, Relationship Manager,, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer
189," Technician, Technical Support",, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction
190, Graphic Designer,, Illustrator| Corel Draw| Photoshop
191, Consultant,, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics
192, Immediate Requirement for Fusion Technical Lead Developer,, Technical Architecture| Fusion| Oracle Fusion
193, Layout Designer / Web Designer,, Layout design| Corel Draw| Web designing| Photoshop
194, International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc,, Bpo Voice| Voice Process| International BPO
195, Asp.net with Angular JS & Html5 - Hyderabad,, HTML5| ASP
196, Sales Manager Product and Portfolio,, Product training| Sales| Relationship| Banking| Recruitment
197, Key Accounts Manager,, Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts
198, Store Head-leading Manufacturing Company,, Stores| warehouse| Logistics
199, BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl,, BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp
200, Java Software Engineer,, Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services
201, Admin Executive,, English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application
202, Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa,, Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills
203, Accounts Manager (male),, Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit
204, Opening for French Specialist Accounts Payable,, accounts payable| accounting| AP
205, Applications Analyst OEE,, Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE
206, Customer Service Engineer - - ICD Security Solutions,, Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV
207, Urgently Required Senior PHP Developer(laravel) || Gurgaon ,, CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter
208, Associate Process Consultant,, Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio
209, Infrastructure management- Lecturer,, Teaching| Educator| Counselor| Mentor| Trainer| Advisor
210, Finance Admin,, Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics
211, Guest Relations Executive,, Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising
212, Salesforce System Architect,, salesforce| salesforce.com| system design| application architecture
213,,,vide
214,System Monitoring Tools & Techniques Professional,,Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring
215, HR Recruiter,, Recruitment| Hiring| HR| Screening| Interviewing| Staffing
216, Business Development Manager (eCommerce),, bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba
217, Java Developer - Spring/ Hibernate,, Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript
218, Python Developer,, Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer
219, Sales And Marketing/Business Development manager,, Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO
220, Microsoft Developer,, build automation| Entity framework| MVC| microsoft| SQL
221, Customer Service Executive (Adeeba Group) for Tech Support/ Sales,, Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO
222, Inbound Technical Support With Attractive Salary Package,, Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp
223," Placement Officer,",, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer
224, Walk-in Interviews For Sr.executive - Procurement on 5th July,, Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management
225,Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,,Test Engineering
226, Senior TSA Inbound Tech Process,, Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO
227, Freelance Corporate Trainer on Taleo,, Corporate Training| corporate trainer| technical trainer
228, Senior Java Developer- Urgently Required by Mumbai IT Company,, java| mongodb| Hibernate| spring| jms
229, Manager Procurement,, Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive
230, Senior Software Engineer - UI Development - Javascript/angularjs,, software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript
231, Telle Caller,, good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency
232, Documentation Executive,, e - tendering| Tender Preparation| bid preparation| proposal preparation
233, Restaurant Cashier,, Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT
234," Opening For Dot Net Developer @ Baner, Pune",, C#| .Net| Asp.net
235, Management Trainee,, Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office
236, Junior Company Secretary,, Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst
237, Production Manager,, Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing
238, Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice),, Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp
239, Business Transformation Consultant,, project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management
240, Content Editor,, Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration
241, Graphics Hardware Engineer,, Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals
242, Visual Designer,, Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer
243, Web Designer,, Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive
244, ACCOUNTS EXECUTIVES,, Tally| Retail| Accounts Executive| Retail Executive
245, Finance & Accounting Associates,, Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking
246, DEALER - RETAIL BROKING,, NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling
